表C205：按區議會分區、工作地點、年及前赴工作地點的交通方式數目劃分的在港有固定工作地點的工作人口,,,,,
,,,,,
,,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口
,,人數,人數,人數,人數
離島,跨區工作（新市鎮）,4668,2852,1110,8630
離島,跨區工作（新界其他地區）,9591,2055,658,12304
離島,小計,42272,19247,6006,67525
陸上,同區工作 (1),488318,65371,32498,586187
陸上,跨區工作（香港島）,396529,184069,76540,657138
陸上,跨區工作（九龍）,461822,206284,87814,755920
陸上,跨區工作（新市鎮）,314532,141067,57700,513299
陸上,跨區工作（新界其他地區）,86549,42260,17720,146529
陸上,總計,1747750,639051,272272,2659073
,,,,,
註釋：,,,,,
(1) 同區工作的人士包括（a）在香港島或九龍居住並在同一區議會分區內工作的人士，（b）在新市鎮居住並在同一新市鎮工作的人士，及（c）在新界其他地方居住並在同一區議會分區非新市鎮地區內工作的人士。於家中工作的人士及水上人口並不包括在內。,,,,,
(2) 2016 年中期人口統計及2021 年人口普查所採用的灣仔區議會及東區區議會分界，不同於2011 年人口普查所採用分界，因此2016 年及2021 年灣仔區議會及東區區議會的統計數字不可與2011 年作直接比較。,,,,,
,,,,,
資料來源：,,,,,
香港特別行政區政府,,,,,
政府統計處,,,,,
2021年人口普查辦事處,,,,,
查詢電話：3428 2744,,,,,
查詢電郵：census2021@censtatd.gov.hk,,,,,
,,,,,
發布日期：2022年7月15日,,,,,
